Scenario,Step Type,Step Text,Value,Latency,Variable Path
Vehicle Held on 5% Grade Distributed GVM Wet,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 5% Grade Distributed GVM Wet,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 1,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 1,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 1,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 1,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 1,Then_1,the torque should be requested FbrkTqRqRl value=10000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 1,Then_2,the torque should be requested FbrkTqRqRr value=10000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 1,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 1,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 2,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 2,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 2,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 2,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 2,Then_1,the torque should be requested FbrkTqRqRl value=15000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 2,Then_2,the torque should be requested FbrkTqRqRr value=15000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 2,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 2,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 3,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 3,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 3,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 3,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 3,Then_1,the torque should be requested FbrkTqRqRl value=5000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 3,Then_2,the torque should be requested FbrkTqRqRr value=5000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 3,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 3,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 4,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 4,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 4,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 4,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 4,Then_1,the torque should be requested FbrkTqRqRl value=4000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 4,Then_2,the torque should be requested FbrkTqRqRr value=4000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 4,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 4,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 5,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 5,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 5,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 5,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 5,Then_1,the torque should be requested FbrkTqRqRl value=9000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 5,Then_2,the torque should be requested FbrkTqRqRr value=9000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 5,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 5,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 6,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 6,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 6,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 6,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 6,Then_1,the torque should be requested FbrkTqRqRl value=7000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 6,Then_2,the torque should be requested FbrkTqRqRr value=7000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 6,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 6,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 7,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 7,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 7,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 7,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 7,Then_1,the torque should be requested FbrkTqRqRl value=8000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 7,Then_2,the torque should be requested FbrkTqRqRr value=8000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 7,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 7,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Vehicle Held on 10% Grade 8,Given_1,the road grdient is 10% VehRoadGrEst value=305,gsminfogrp_trnvalidgearrqstat,,
Vehicle Held on 10% Grade 8,Given_2,VehRoadGrEstQf value=3,vehovergndvestqf,,
Vehicle Held on 10% Grade 8,Given_3,VehSecureCpbltyStat value=2,evsehlcprtclstat,,
Vehicle Held on 10% Grade 8,When_1,the vehicle is at a standstill VehVEstGrp value=0,batttracmncellteactl,,
Vehicle Held on 10% Grade 8,Then_1,the torque should be requested FbrkTqRqRl value=6000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 8,Then_2,the torque should be requested FbrkTqRqRr value=6000,fbrktqrqaxlereargrp_fbrktqctlstataxle,,
Vehicle Held on 10% Grade 8,Then_3,the vehicle status should be secure VehSecureActl value=7 latency=1,acceldatagrp_vehvert2aactl,,
Vehicle Held on 10% Grade 8,Then_4,the wheel state of motion should be secured WhlStOfMtn value=3 latency=1,latchpositionstatusfzm,,
Communicate wheel speed 0 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 0 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 0 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 0 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 0 Rad/s,When_1,WhlWMeasFl to value=0x0 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_2,WhlWMeasFr to value=0x0 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_3,WhlWMeasRl to value=0x0 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_4,WhlWMeasRr to value=0x0 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 0 Rad/s,Then_1,that VehVClstr is set to value=0x0 (0 kph) on FE1_CANFD [CANFD] with latency=0.3,vehvclstr,,
Communicate wheel speed 30 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 30 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 30 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 30 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 30 Rad/s,When_1,WhlWMeasFl to value=0xBB8 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_2,WhlWMeasFr to value=0xBB8 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_3,WhlWMeasRl to value=0xBB8 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_4,WhlWMeasRr to value=0xBB8 (0 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 30 Rad/s,Then_1,that VehVClstr is set to value=0x1068 (42 kph) on FE1_CANFD [CANFD] latency=0.3,vehvclstr,,
Communicate wheel speed 60 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 60 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 60 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 60 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 60 Rad/s,When_1,WhlWMeasFl to value=0x1170 (60 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_2,WhlWMeasFr to value=0x1170 (60 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_3,WhlWMeasRl to value=0x1170 (60 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_4,WhlWMeasRr to value=0x1170 (60 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 60 Rad/s,Then_1,that VehVClstr is set to value=0x2198 (86 kph) on FE1_CANFD [CANFD] latency=0.3,vehvclstr,,
Communicate wheel speed 90 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 90 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 90 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 90 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 90 Rad/s,When_1,WhlWMeasFl to value=0x2328 (90 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_2,WhlWMeasFr to value=0x2328 (90 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_3,WhlWMeasRl to value=0x2328 (90 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_4,WhlWMeasRr to value=0x2328 (90 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 90 Rad/s,Then_1,that VehVClstr is set to value=0x3138 (126 kph) on FE1_CANFD [CANFD] latency=0.3,vehvclstr,,
Communicate wheel speed 120 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 120 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 120 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 120 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 120 Rad/s,When_1,WhlWMeasFl to value=0x2EE0 (120 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_2,WhlWMeasFr to value=0x2EE0 (120 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_3,WhlWMeasRl to value=0x2EE0 (120 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_4,WhlWMeasRr to value=0x2EE0 (120 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 120 Rad/s,Then_1,that VehVClstr is set to value=0x4204 (169 kph) on FE1_CANFD [CANFD] latency=0.3,vehvclstr,,
Communicate wheel speed 150 Rad/s,Given_1,TrnGearRqCntActl is set to value=0x1 (TRUE) on IP_CANFD,gsminfogrp_trngearrqcntactl,,
Communicate wheel speed 150 Rad/s,Given_2,TrnGearRqDrv is set to value=0x8 (Drive) on IP_CANFD,gsminfogrp_trngearrqdrv,,
Communicate wheel speed 150 Rad/s,Given_3,TrnGearRqCntActlVC is set to value=0x1 (Yes) on VCM_CANFD,trngearrqcntactlvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 150 Rad/s,Given_4,TrnGearRqDrvVC is set to value=0x8 (Drive) on VCM_CANFD,trngearrqdrvvc_ovcmcangsmmsg1_ovcm_can_fd,,
Communicate wheel speed 150 Rad/s,When_1,WhlWMeasFl to value=0x3A98 (150 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_2,WhlWMeasFr to value=0x3A98 (150 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_3,WhlWMeasRl to value=0x3A98 (150 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_4,WhlWMeasRr to value=0x3A98 (150 rad/s) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_5,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_6,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_7,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_8,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_9,WhlWMeasFlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_10,WhlWMeasFrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_11,WhlWMeasRlQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,When_12,WhlWMeasRrQf to value=0x3 (QF_OK) on ABS2_CANFD,abs_can_fd_enable,,
Communicate wheel speed 150 Rad/s,Then_1,that VehVClstr is set to value=0x526C (211 kph) on FE1_CANFD [CANFD] latency=0.3,vehvclstr,,
Displaying Vehicle Speed with ABS as Source,Given_1,"the vehicle ignition_status is ""On"" value=7",ptvi1_status_enable,,
Displaying Vehicle Speed with ABS as Source,When_1,"the vehicle is moving at ""50"" km/h according to the ABS speed signal Veh_V_ActlBrk value=50",activegrillmduleteoveractlb,,
Displaying Vehicle Speed with ABS as Source,Then_1,"the Feature should display the vehicle speed as ""50"" km/h within 100ms value=50 latency=0.1",sdarssampleratedstat,,
Vehicle Speed Display with ABS as Source and VSAI enabled,Given_1,"the vehicle ignition_status is ""On"" value=7",ptvi1_status_enable,,
Vehicle Speed Display with ABS as Source and VSAI enabled,When_1,"the vehicle is moving at ""50"" km/h according to the ABS speed signal Veh_V_ActlBrk value=50",activegrillmduleteoveractlb,,
Vehicle Speed Display with ABS as Source and VSAI enabled,Then_1,"the Feature should display the vehicle speed as ""50"" km/h corrected by VSAI within 100ms value=50 latency=0.1",stabctlstatlomuovrstectrl_ofordstabctrl2_oabs_can_fd,,
Vehicle Speed Display with ABS as Source and VSAI disabled,Given_1,"the vehicle ignition_status is ""On"" value=7",ptvi1_status_enable,,
Vehicle Speed Display with ABS as Source and VSAI disabled,When_1,"the vehicle is moving at ""50"" km/h according to the ABS speed signal value=50",bccminfo4_timing_control_period,,
Vehicle Speed Display with ABS as Source and VSAI disabled,Then_1,"the Feature should display the vehicle speed as ""50"" km/h without VSAI correction within 100ms value=50 latency=0.1",trnfrntoilpmpctlfrmstatus_odmcmfa_status_ofdc_can_fd,,
Vehicle Speed Display with ABS as Source and VehVActBrk_No_Corr out of range,Given_1,"the vehicle ignition_status is ""On"" value=7",ptvi1_status_enable,,
Vehicle Speed Display with ABS as Source and VehVActBrk_No_Corr out of range,When_1,"the vehicle is moving at ""50"" km/h according to the ABS speed signal Veh_V_ActlBrk value=50",activegrillmduleteoveractlb,,
Vehicle Speed Display with ABS as Source and VehVActBrk_No_Corr out of range,Then_1,"the Feature should display the vehicle speed as ""50"" km/h without VSAI correction within 100ms value=50 latency=0.1",trnfrntoilpmpctlfrmstatus_odmcmfa_status_ofdc_can_fd,,
Vehicle Speed Display after Ignition Cycle,Given_1,"the vehicle ignition_status is ""Off"" value=2",ptvi1_status_enable,,
Vehicle Speed Display after Ignition Cycle,When_1,"the user turns the ignition ""On"" value=70",gsminfogrp_trngsmntmstateactl,,
